University Rank,University Name,Professor Name,Home Page,Google Scholar
1,CISPA Helmholtz Center,Michael Backes,https://cispa.de/en/people/backes,https://scholar.google.com/citations?user=ZVS3KOEAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Yang Zhang,https://yangzhangalmo.github.io,https://scholar.google.com/citations?user=Xeb2888AAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Michael Schwarz,https://cispa.de/en/people/c02misc,https://scholar.google.com/citations?user=2HPadJUAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Sascha Fahl,https://saschafahl.de,https://scholar.google.com/citations?user=uiB3WGEAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Thorsten Holz,http://syssec.rub.de/~tho,https://scholar.google.com/citations?user=tv2HR38AAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Cas Cremers,https://cispa.saarland/people/cas.cremers,https://scholar.google.com/citations?user=3uT_2lcAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Ben Stock,https://people.cispa.io/ben.stock,https://scholar.google.com/citations?user=_hDa-5wAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Mario Fritz,https://cispa.saarland/people/gallery,https://scholar.google.com/citations?user=4V1nNm4AAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Katharina Krombholz,https://cispa.saarland/people/katharina.krombholz,https://scholar.google.com/citations?user=BkeawyUAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Julian Loss,https://www.julianloss.com,https://scholar.google.com/citations?user=RTGQifoAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Christian Rossow,https://christian-rossow.de,https://scholar.google.com/citations?user=lNn4hRMAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Ali Abbasi,https://ali-abbasi.info,https://scholar.google.com/citations?user=7BgdiU4AAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Lucjan Hanzlik,https://cispa.saarland/people/lucjan.hanzlik,https://scholar.google.com/citations?user=xV54a20AAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Giancarlo Pellegrino,https://people.cispa.io/giancarlo.pellegrino,https://scholar.google.com/citations?user=PC_RNUcAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Maximilian Golla,https://maximiliangolla.com,https://scholar.google.com/citations?user=FC0ACFUAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,CristianAlexandru Staicu,https://www.staicu.org,https://scholar.google.com/citations?user=JmpDeRQAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Nils Ole Tippenhauer,https://cispa.saarland/people/nils.tippenhauer,https://scholar.google.com/citations?user=IptcAgQAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Sven Bugiel,https://trust.cispa.saarland/~bugiel,https://scholar.google.com/citations?user=sPrlusAAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Wouter Lueks,https://wouterlueks.nl,https://scholar.google.com/citations?user=RY6zQiYAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Nico Dttling,https://cispa.saarland/people/nico.doettling,https://scholar.google.com/citations?user=F8rmIoIAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Franziska Boenisch,https://franziska-boenisch.de,https://scholar.google.com/citations?user=jKY0y8gAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Aurore Fass,https://aurore54f.github.io,https://scholar.google.com/citations?user=NuD8rUoAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Lea Schnherr,https://leaschoenherr.me,https://scholar.google.com/citations?user=DtLfiGoAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Mridula Singh,https://cispa.de/en/people/c01mrsi,https://scholar.google.com/citations?user=0nTK5BsAAAAJ&hl=en&oi=ao
1,CISPA Helmholtz Center,Andreas Zeller,https://andreas-zeller.info,https://scholar.google.com/citations?user=-Qytr_YAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Daniel Genkin,https://faculty.cc.gatech.edu/~genkin,https://scholar.google.com/citations?user=BqkyhDEAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Wenke Lee,http://wenke.gtisc.gatech.edu,https://scholar.google.com/citations?user=nfkH5V4AAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Taesoo Kim,https://taesoo.gtisc.gatech.edu,https://scholar.google.com/citations?user=06hgT8gAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Raheem A Beyah,https://rbeyah.ece.gatech.edu,https://scholar.google.com/citations?user=KhnJQ20AAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Frank Li,https://frankli.ece.gatech.edu,https://scholar.google.com/citations?user=Iv7K07UAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Brendan Saltaformaggio,https://saltaformaggio.ece.gatech.edu,https://scholar.google.com/citations?user=1GsJvtwAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Vladimir Kolesnikov,https://www.scs.gatech.edu/people/vladimir-kolesnikov,https://scholar.google.com/citations?user=1vwuDM4AAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Manos Antonakakis,https://sites.google.com/site/antonakakis,https://scholar.google.com/citations?user=P6VJcVIAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Fabian Monrose,https://fabianmonrose.github.io,https://scholar.google.com/citations?user=a6u7NTgAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Paul Pearce,https://www.cc.gatech.edu/~pearce,https://scholar.google.com/citations?user=JvY2c4YAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Michael D Bailey,https://faculty.cc.gatech.edu/~mbailey,https://scholar.google.com/citations?user=sMnocAYAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Angelos D Keromytis,https://angelosk.github.io,https://scholar.google.com/citations?user=mncyWbcAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Mustaque Ahamad,http://www.cc.gatech.edu/~mustaq,https://scholar.google.com/citations?user=xkCYK58AAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Alberto Dainotti,https://www.cc.gatech.edu/~adainotti6,https://scholar.google.com/citations?user=oZNdAREAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Tucker R Balch,http://www.cc.gatech.edu/home/tucker,https://scholar.google.com/citations?user=jM1cT4QAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Alexandra Boldyreva,http://www.cc.gatech.edu/~aboldyre,https://scholar.google.com/citations?user=8mHLyRoAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,David Devecsery,https://www.cc.gatech.edu/~ddevecsery6,https://scholar.google.com/citations?user=HaJWLb0AAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,W Keith Edwards,http://www.cc.gatech.edu/~keith,https://scholar.google.com/citations?user=QYqwwwcAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Moinuddin K Qureshi,http://moin.ece.gatech.edu,https://scholar.google.com/citations?user=EWU0STsAAAAJ&hl=en&oi=ao
2,Georgia Institute of Technology,Saman A Zonouz,https://sites.google.com/site/samanzonouz4n6/saman-zonouz,https://scholar.google.com/citations?user=kgFnNewAAAAJ&hl=en&oi=ao
3,Purdue University,Xiangyu Zhang,https://www.cs.purdue.edu/homes/xyzhang,https://scholar.google.com/citations?user=yuB-cfoAAAAJ&hl=en&oi=ao
3,Purdue University,Dongyan Xu,https://www.cs.purdue.edu/homes/dxu,https://scholar.google.com/citations?user=CQcd1cQAAAAJ&hl=en&oi=ao
